"","SITE_ID","ECO_TYPE","LAT","LON"
"318","CBP_WQX-XFG0965","River/Stream",38.6821,-76.2252
"319","CBP_WQX-1ANEA000.57","River/Stream",38.6,-77.25692
"320","CBP_WQX-XEG6966","River/Stream",38.6159,-76.2234
"321","CBP_WQX-XFB0500","River/Stream",38.6758,-77.1663
"322","CBP_WQX-CHO0367","River/Stream",38.7575,-75.9967
"323","CBP_WQX-XHH4528","River/Stream",39.0749,-76.1198
"324","CBP_WQX-XEG7539","River/Stream",38.6245,-76.2688
"325","CBP_WQX-XCC4530","River/Stream",38.2415,-76.9503
"326","CBP_WQX-XEH8132","River/Stream",38.6415,-76.1111
"327","CBP_WQX-XCD0517","River/Stream",38.1744,-76.8056
"328","CBP_WQX-XBF3534","River/Stream",38.0595,-76.444
"329","CBP_WQX-XBG2601","River/Stream",38.0443,-76.3334
"330","CBP_WQX-XBF5231","River/Stream",38.0867,-76.4483
"331","CBP_WQX-LE2.3","River/Stream",38.0215,-76.3477
"332","CBP_WQX-WIW0089","River/Stream",38.2966,-75.7585
"333","CBP_WQX-XBD9558","River/Stream",38.1588,-76.7368
"334","CBP_WQX-XBE2100","River/Stream",38.0348,-76.5012
"335","CBP_WQX-COR0056","River/Stream",39.0558,-76.0718
"336","CBP_WQX-1ADOU000.60","River/Stream",38.69778,-77.12111
"337","CBP_WQX-1APOH002.32","River/Stream",38.68028,-77.16917
"338","CBP_WQX-1ANEA000.40","River/Stream",38.6,-77.25694
"339","CBP_WQX-1BSSF100.10","Channelized Stream",38.3129,-78.77003
"340","CBP_WQX-XKI3890","River/Stream",39.564,-75.8501
"341","CBP_WQX-XKH2797","River/Stream",39.5443,-76.0049
"342","CBP_WQX-CB7.4","River/Stream",36.9957,-76.02048
"343","CBP_WQX-XKH2870","River/Stream",39.546,-76.0494
"344","CBP_WQX-XKH6126","River/Stream",39.6001,-76.1239
"345","CBP_WQX-CB6.1","River/Stream",37.58847,-76.16216
"346","CBP_WQX-RET4.3","River/Stream",37.50869,-76.78889
"347","CBP_WQX-LE3.6","River/Stream",37.5968,-76.28467
"348","CBP_WQX-CB6.4","River/Stream",37.23653,-76.20799
"349","CBP_WQX-CB7.3E","River/Stream",37.22875,-76.05383
"350","CBP_WQX-SBE5","River/Stream",36.76987,-76.29605
"351","CBP_WQX-XJI8641","River/Stream",39.4764,-75.931
"352","CBP_WQX-LE5.5-W","River/Stream",36.99903,-76.31328
"353","CBP_WQX-XBF0956","River/Stream",38.12,-76.41
"354","CBP_WQX-XJI8018","River/Stream",39.4663,-75.9697
"355","CBP_WQX-XJI8369","River/Stream",39.4713,-75.8857
"356","CBP_WQX-GBO0013","River/Stream",39.4637,-75.8383
"357","CBP_WQX-TF4.2","River/Stream",37.57999,-77.02128
"358","CBP_WQX-XJI8856","River/Stream",39.4805,-75.9068
"359","CBP_WQX-XGG8458","River/Stream",38.9734,-76.23669
"360","CBP_WQX-XCD1466","River/Stream",38.1896,-76.7231
"361","CBP_WQX-XDB8884","River/Stream",38.47963,-77.02748
"362","CBP_WQX-XGG8359","River/Stream",38.97128,-76.23573
"363","CBP_WQX-XJI2396","River/Stream",39.37225,-75.83987
"364","CBP_WQX-LE5.6","River/Stream",36.90456,-76.33836
"365","CBP_WQX-XJI2342","River/Stream",39.3712,-75.9286
"366","CBP_WQX-WE4.2","River/Stream",37.24181,-76.38634
"367","CBP_WQX-TF5.5","River/Stream",37.31265,-77.23283
"368","CBP_WQX-XKI0256","River/Stream",39.5039,-75.9075
"369","CBP_WQX-XBE6983","River/Stream",38.115,-76.5283
"370","CBP_WQX-XKH2949","River/Stream",39.5478,-76.0848
"371","CBP_WQX-RET5.2","River/Stream",37.20294,-76.78219
"372","CBP_WQX-XCD0340","River/Stream",38.1715,-76.7656
"373","CBP_WQX-XKI5022","River/Stream",39.5831,-75.9638
"374","CBP_WQX-XJH6868","River/Stream",39.4475,-76.0525
"375","CBP_WQX-XJH5342","River/Stream",39.4209,-76.096
"376","CBP_WQX-XJH5080","River/Stream",39.4167,-76.0333
"377","CBP_WQX-XJH9299","River/Stream",39.4866,-76.0006
"378","CBP_WQX-XKH3508","River/Stream",39.5583,-75.9867
"379","CBP_WQX-LBO0010","River/Stream",39.4484,-75.8449
"380","CBP_WQX-XKH0375","River/Stream",39.5053,-76.0414
"381","CBP_WQX-LE3.3","River/Stream",37.68842,-76.47442
"382","CBP_WQX-RET3.1","River/Stream",37.9173,-76.8222
"383","CBP_WQX-XEA8467","River/Stream",38.66,-77.23
"384","CBP_WQX-XKI2475","River/Stream",39.5387,-75.875
"385","CBP_WQX-2-JMS113.20","Channelized Stream",37.53142,-77.4837
"386","CBP_WQX-XJH8658","River/Stream",39.4767,-76.0709
"387","CBP_WQX-XKI2616","River/Stream",39.5429,-75.9735
"388","CBP_WQX-TF3.3","River/Stream",38.01847,-76.90928
"389","CBP_WQX-XJH9748","River/Stream",39.4943,-76.0876
"390","CBP_WQX-XJI2112","River/Stream",39.3689,-75.9792
"391","CBP_WQX-EBB01","River/Stream",36.83611,-76.24444
"392","CBP_WQX-LE5.2","River/Stream",37.056,-76.59306
"393","CBP_WQX-XCG5495","River/Stream",38.2565,-76.1743
"394","CBP_WQX-XDG1188","River/Stream",38.3523,-76.1862
"395","CBP_WQX-XCG9168","River/Stream",38.3191,-76.2196
"396","CBP_WQX-XCH6533","River/Stream",38.2746,-76.1114
"397","CBP_WQX-XJG7461","River/Stream",39.45821,-76.23227
"398","CBP_WQX-LFA01","River/Stream",36.9082,-76.3146
