"SITE_ID","DOC_Median","NO3_Median","TP_Median"
"NRS18_IN_10002",3.1,1.3384,116.327
"NRS18_IN_10003",1.35,0.0418,7.843
"NRS18_IN_10005",2.48,0.2768,44.479
"NRS18_IN_10006",5.76,1.0057,37.05
"NRS18_IN_10007",2.81,0.4826,161.451
"NRS18_IN_10008",5.655,2.77715,137.1895
"NRS18_IN_10009",3.725,1.4541,146.854
"NRS18_IN_10010",3.39,0.2296,130.901
"NRS18_IN_10012",3.05,0.1711,138.475
"NRS18_IN_10013",2.03,0.9042,75.266
"NRS18_IN_10014",6.46,1.3378,111.545
"NRS18_IN_10015",2.88,1.6277,127.258
"NRS18_IN_10017",5.41,1.1749,57.83
"NRS18_IN_10019",5.9,0.9478,341.51
"NRS18_IN_10021",2.63,3.5524,66.776
"NRS18_IN_10025",3.43,0.4521,27.953
"NRS18_IN_10026",2.8,3.7339,98.305
"NRS18_IN_10027",2.89,0.5355,120.281
"NRS18_IN_10028",3.44,0.5603,132.579
"NRS18_IN_10030",3.41,1.0205,76.001
"NRS18_IN_10032",2.78,0,128.854
"NRS18_IN_10033",5.45,1.1204,59.118
"NRS18_IN_10036",6.27,1.1805,105.086
"NRS18_IN_10040",2.31,1.6916,135.988
"NRS18_IN_10046",5.23,2.1772,213.463
"NRS18_IN_10053",2.04,1.0376,20.575
"NRS18_IN_10347",5.09,1.4066,96.045
"NRS18_IN_10498",1.84,1.8297,9.044
"NRS18_IN_10649",4.01,0.2007,23.849
"NRS18_IN_10650",3.88,2.4253,123.52
"NRS18_IN_11097",2.93,2.6752,295.61
"NRS18_IN_11547",3.91,1.4609,116.908
"NRS18_KS_10001",1.61,0.01515,28.482
"NRS18_KS_10002",4.26,0.5855,300.709
"NRS18_KS_10005",6.8,0.0353,111.091
"NRS18_KS_10006",5.53,1.1333,297.431
"NRS18_KS_10009",4.18,0.7685,303.538
"NRS18_KS_10012",3.445,0.1469,42.002
"NRS18_KS_10015",5.8,0.858,191.65
"NRS18_KS_10018",2.9,0.6977,206.484
"NRS18_KS_10024",2.65,2.7479,130.269
"NRS18_KS_10027",7.26,0.8141,585.043
"NRS18_KS_10029",3.095,3.1957,329.501
"NRS18_KS_10033",3.71,0.0943,110.966
"NRS18_KS_10040",4.85,0.2452,198.184
"NRS18_KS_10041",4.13,0.8079,304.905
"NRS18_KS_10043",7.42,0.534,881.8
"NRS18_KS_10045",2.4,1.1567,74.768
"NRS18_KS_10049",2.01,1.3143,83.586
"NRS18_KS_10050",6.68,1.3473,565.933
"NRS18_KS_10051",4.735,0.6841,402.04
"NRS18_KS_10086",6.82,NA,33.985
"NRS18_KS_10087",9.48,0.0069,122.993
"NRS18_KS_10091",3.52,1.5894,183.094
"NRS18_KS_10097",6.55,0.7193,502.459
"NRS18_KS_10098",11.56,NA,830.475
"NRS18_KS_10099",2.89,3.3074,224.95
"NRS18_KS_10100",2.31,7.6128,130.014
"NRS18_KS_10101",4.9,0.5087,228.653
"NRS18_KS_10103",3.19,0.6754,198.764
"NRS18_KS_10106",6.73,0.9048,298.688
"NRS18_KS_10113",4.04,0.1881,148.139
"NRS18_KS_10115",2.07,0.5171,48.645
"NRS18_KS_10120",3.79,2.0217,267
"NRS18_KS_10122",6.27,0.0054,375.005
"NRS18_KS_10123",4,0.3006,805.825
"NRS18_KS_10125",4.81,0.3506,307.305
"NRS18_KS_10126",7.88,0.0242,160.551
"NRS18_KS_10137",2.67,0.0016,125.211
"NRS18_KS_10140",18.58,0.0745,1150.944
"NRS18_KS_10141",2.67,0.3634,26.163
"NRS18_KS_10142",5.32,0.0548,27.095
"NRS18_KS_10145",2.27,0.4029,54.429
"NRS18_KS_RF001",3.36,0.0969,143.051
"NRS18_KS_RF003",1.7,NA,78.913
"NRS18_KY_10001",1.385,0.04135,98.252
"NRS18_KY_10002",3.84,1.7486,306.379
"NRS18_KY_10003",1.79,0.1047,75.368
"NRS18_KY_10004",3.81,1.2948,128.915
"NRS18_KY_10005",1.48,0.2002,17.784
"NRS18_KY_10006",2.66,0.6305,202.514
"NRS18_KY_10007",1.83,0.0904,19.635
"NRS18_KY_10008",2.29,1.1841,106.325
"NRS18_KY_10009",3.14,0.5381,89.758
"NRS18_KY_10010",1.6,0.2841,50.453
"NRS18_KY_10011",3.34,0.39565,38.94
"NRS18_KY_10012",2.625,1.0377,72.96
"NRS18_KY_10013",0.71,0.072,14.839
"NRS18_KY_10015",1.37,0.4502,25.843
"NRS18_KY_10016",2.14,0.2312,30.036
"NRS18_KY_10018",1.78,0.361,42.645
"NRS18_KY_10019",3.38,1.3916,156.945
"NRS18_KY_10020",1.66,0.1916,13.591
"NRS18_KY_10023",0.7,0.6766,11.446
"NRS18_KY_10024",1.57,0.4104,105.408
"NRS18_KY_10025",1.11,3.8405,67.276
"NRS18_KY_10026",4.47,0.4027,163.235
"NRS18_KY_10027",4.69,0.9701,94.105
"NRS18_KY_10029",1.51,0.3263,49.415
"NRS18_KY_10030",4.2,0.5352,168.128
"NRS18_KY_10031",2.14,0.2947,79.258
"NRS18_KY_10032",2.06,0.0652,85.086
"NRS18_KY_10033",2.18,1.2599,70.086
"NRS18_KY_10039",1.29,1.1404,38.586
"NRS18_KY_10041",3.82,0.6828,116.674
"NRS18_KY_10048",2.64,0.0458,114.396
"NRS18_KY_10197",1.16,0.1277,15.864
"NRS18_KY_10952",5.14,0.8048,432.608
"NRS18_LA_10001",10.24,1.20995,262.7135
"NRS18_LA_10002",6.945,0.0842,106.2135
"NRS18_LA_10003",5.13,0.8894,483.051
"NRS18_LA_10004",2.62,0.0033,78.413
"NRS18_LA_10005",7.45,0.2548,204.301
"NRS18_LA_10006",6.59,0.0714,65.913
"NRS18_LA_10007",6.2,0.3305,105.801
"NRS18_LA_10008",5.77,0.0088,67.055
"NRS18_LA_10010",3.055,1.62145,207.7135
"NRS18_LA_10011",10.3,0.0692,104.413
"NRS18_LA_10012",0.84,0.5629,24.014
"NRS18_LA_10013",9,0.0035,861.113
"NRS18_LA_10014",4.11,NA,93.676
"NRS18_LA_10015",4.17,0.3551,150.551
