"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median"
"NLA06608-0674",42.5419878,-72.9577882,3.33,243,3
"NLA06608-0677",42.7723941,-118.446839,17.86,1864,150
"NLA06608-0678",43.9635871,-121.7804825,2.2,462,52
"NLA06608-0679",44.9072412,-93.2423725,6.19,635,13
"NLA06608-0681",38.8234993,-80.6140785,1.74,249,9
"NLA06608-0686",45.9929459,-95.6876061,18.17,1343,122
"NLA06608-0687",38.9969194,-108.0510627,1.97,198,13
"NLA06608-0690",41.9894309,-71.5975535,3.795,415.5,16
"NLA06608-0692",40.6714141,-99.0555221,5.14,631,23
"NLA06608-0693",37.1472775,-119.5155897,1.59,79,4
"NLA06608-0696",34.9458216,-97.4757382,9.29,829,252
"NLA06608-0707",46.8926988,-99.4166504,37.93,4034,127
"NLA06608-0709",28.8665437,-81.6824558,15.81,2492,202
"NLA06608-0710",41.7602691,-70.6579212,2.94,302,21
"NLA06608-0711",30.7510733,-93.1114026,6.76,523,74
"NLA06608-0712",32.0298559,-97.6256671,6.54,417,14
"NLA06608-0713",39.4038492,-120.0976296,2.01,138,7
"NLA06608-0715",40.2184857,-105.3784913,2.77,123,4
"NLA06608-0717",39.175339,-75.5321724,7.43,2030,225
"NLA06608-0718",46.4774677,-103.2176549,27.63,1869,616
"NLA06608-0720",39.7836805,-99.9636085,9.53,1435,195
"NLA06608-0721",46.4972866,-122.4056376,3.71,441,21
"NLA06608-0723",42.9225599,-102.0383947,28.51,1433,24
"NLA06608-0724",39.189471,-85.9822018,3.07,273,9
"NLA06608-0726",43.8349508,-71.0933514,2.76,202,6
"NLA06608-0727",45.6387335,-97.3418736,21.55,3722,191
"NLA06608-0731",41.3374411,-85.5985517,6.51,1221,17
"NLA06608-0733",37.3016569,-115.1266278,9.7,993,28
"NLA06608-0734",47.1297626,-88.3164319,12.5,364,16
"NLA06608-0738",43.1776559,-72.0661623,3.75,223,3
"NLA06608-0743",45.2836503,-93.8470378,6.07,406,5
"NLA06608-0744",37.5072843,-96.2295225,5.83,1243,100
"NLA06608-0749",38.2177787,-77.6696387,5.47,464,50
"NLA06608-0751",35.0950623,-84.6095574,1.34,99,1
"NLA06608-0753",42.3442113,-79.3203861,3.06,367,15
"NLA06608-0754",42.0000821,-71.7688937,2.77,251,3
"NLA06608-0755",45.1719858,-100.0637661,16.6,2216,1104
"NLA06608-0756",34.5199591,-97.818894,5.75,326,3
"NLA06608-0759",43.4963585,-94.5856475,8.69,4153,360
"NLA06608-0761",40.7626328,-74.2859718,5.25,403,12
"NLA06608-0762",47.614866,-100.8270609,16.29,3940,264
"NLA06608-0764",41.2144338,-101.6522363,3.78,1386,58
"NLA06608-0765",40.1615512,-79.0529665,2.51,507,29
"NLA06608-0766",47.0738877,-98.5868204,14.63,1673,40
"NLA06608-0769",47.4656168,-116.6021502,3.61,384,16
"NLA06608-0770",33.3764843,-111.9196013,4.05,1455,28
"NLA06608-0771",46.436781,-93.9577837,9.2,622,20
"NLA06608-0775",31.7784485,-99.4868048,6.57,569,18
"NLA06608-0779",43.7415581,-97.6032137,14.18,3916,1543
"NLA06608-0781",40.9524461,-74.780736,4.39,729,34
"NLA06608-0782",47.9749001,-90.7458998,10.04,443,7
"NLA06608-0783",40.3812155,-84.3240025,9.58,1896,819
"NLA06608-0785",46.8713894,-119.5708717,2.52,2621,15
"NLA06608-0792",33.0658611,-96.9871549,5.33,760,47
"NLA06608-0793",37.6255695,-81.099879,2.72,340,19
"NLA06608-0794",42.9429594,-109.8067241,1.155,80,2
"NLA06608-0797",39.4672764,-114.854418,5.12,418,24
"NLA06608-0802",42.7054837,-71.9242731,6.9,361,18
"NLA06608-0804",37.0649656,-87.663392,4.98,335,13
"NLA06608-0805",41.8970603,-73.4471959,4.07,755,51
"NLA06608-0806",44.3260473,-72.3330375,7.26,427,20
"NLA06608-0807",45.4544983,-97.6708423,21.43,1505,511
"NLA06608-0808",37.8085025,-94.206305,7.98,1748,126
"NLA06608-0809",34.2751141,-110.0619092,8.72,546,13
"NLA06608-0811",41.5850365,-84.930755,12.06,1224,51
"NLA06608-0812",31.8921391,-90.6009389,7.29,357,11
"NLA06608-0815",32.0700364,-84.2970026,3.16,269,39
"NLA06608-0820",36.0419557,-85.5890908,3.38,2841,323
"NLA06608-0823",45.5021281,-92.427586,5.92,331,7
"NLA06608-0824",36.7028594,-96.4201914,3.39,309,22
"NLA06608-0825",37.6502261,-113.5241332,5.65,1001,88
"NLA06608-0827",39.9951256,-105.1124639,5.35,543,23
"NLA06608-0828",33.1455783,-90.3550848,10.74,1510,114
"NLA06608-0830",47.3145341,-99.4057224,79.82,15563,1617
"NLA06608-0831",35.0624231,-82.6873799,1.21,44,4
"NLA06608-0833",48.9006629,-113.79482,0.48,104,1
"NLA06608-0834",33.5565848,-111.5104323,5.24,583,23
