"SITE_ID","Lat","Lon","DOC_Median","TN_Median","TP_Median","TNtoTP_Median"
"OKR9-0901",35.92582,-99.51525,3.61,296,29.5,11.1879606895
"OKR9-0902",36.958,-97.42192,3.175,488,127.5,3.7257502845
"OKR9-0903",33.86362,-97.00595,4.42,991,131,7.564885496
"OKR9-0904",35.39936,-95.79265,5.54,1449,395,3.66835443
"OKR9-0905",35.53,-99.13021,8.81,1686,246,6.853658537
"OKR9-0906",36.05503,-98.12901,2.83,596,52,11.46153846
"OKR9-0907",34.63573,-95.12159,5.29,303,69.1,4.384949349
"OKR9-0908",35.92491,-97.86391,6.96,1358,223,6.089686099
"OKR9-0909",34.59159,-99.02375,15.59,3410,829,4.113389626
"OKR9-0911",34.22208,-96.70688,4.88,755,194,3.891752577
"OKR9-0912",33.91222,-95.54936,4.89,786,113,6.955752212
"OKR9-0913",35.81455,-98.70209,5.06,596,69,8.637681159
"OKRF-0001",34.24831,-96.72079,4.44,531,69,7.695652174
"OKRF-0002",35.69016,-95.16564,3.43,740,85,8.705882353
"OKRF-0003",36.18365,-98.92051,6.15,839,102,8.225490196
"OKRF-0004",36.24905,-95.73396,3.95,480,80,6
"OKRF-0005",35.77732,-96.32553,2.83,279,31,9
"OKRF-0008",34.73312,-97.21169,5.89,740,90,8.222222222
"OKRF-0101",35.28665,-95.26315,7.82,918,202,4.544554455
"OKRM-1001",33.78372,-96.17145,4.12,759,115,6.6
"OKRM-1002",35.96767,-97.12551,4.9,1104,218,5.064220183
"OKRM-1004",33.87907,-95.91292,3.81,626,95,6.589473684
"OKRM-1006",36.58577,-97.0339,3.53,1016,176,5.772727273
"OKRM-1008",34.22702,-95.49317,4.73,461,73,6.315068493
"OKRM-1020",33.87103,-95.43251,4.85,861,143,6.020979021
"OKRM-1021",35.02582,-97.35414,6.52,2209,718,3.076601671
"OKRM-1022",36.95483,-96.93872,3.15,2520,594,4.242424242
"OKRM-1026",34.20331,-99.11783,4.04,809,110,7.354545455
"OKRO-1086",34.19471,-95.84755,7.56,916,93,9.849462366
"OKRO-1087",34.85247,-94.61724,3.42,280,41.8,6.698564593
"OKRO-1088",35.68552,-96.41488,5.21,953,223,4.273542601
"OKRO-1089",34.88904,-99.37742,10.82,2168,83,26.12048193
"OKRO-1092",35.56492,-97.94991,6.36,1134,242,4.685950413
"OKRO-1102",34.09644,-95.89402,5.67,759,168,4.517857143
"OKRO-1103",34.1366,-94.68233,3.11,358,19,18.84210526
"OKS9-0931",34.83934,-98.306,14.74,2433,1082,2.248613678
"OKS9-0932",35.74931,-97.13433,5.58,561.5,71,7.8751276295
"OKS9-0933",36.95135,-95.03539,16.89,2775,635,4.37007874
"OKS9-0934",35.71769,-96.37698,5.04,580,45,12.88888889
"OKS9-0935",35.54539,-99.72271,2.77,2368,111,21.33333333
"OKS9-0936",35.96545,-96.36807,6.98,610,51,11.96078431
"OKS9-0937",34.27513,-97.19231,3.59,345,54,6.388888889
"OKS9-0938",34.53126,-94.71442,0.87,178,24,7.416666667
"OKS9-0939",34.34592,-96.69948,0.89,586,56,10.46428571
"OKS9-0941",35.75565,-96.21008,9.335,1257,98.5,13.240687525
