"","LAT","LON","SITE_ID","ECO_TYPE","DATE_COL","VARIABLE","RESULT","UNIT"
"174",33.59443,-86.21167,"LAGOS_236199","Lake",2004-07-20,"secchi_m",0.69,"m"
"175",33.59443,-86.21167,"LAGOS_236199","Lake",2004-07-20,"tss",18,"mg/L"
"176",31.36214,-86.51637,"LAGOS_234508","Lake",2004-05-25,"DOC",3.433,"mg/L"
"177",31.36214,-86.51637,"LAGOS_234508","Lake",2004-05-25,"turb_ntu",10.1,"ntu"
"178",31.36214,-86.51637,"LAGOS_234508","Lake",2004-05-25,"secchi_m",1.21,"m"
"179",31.36214,-86.51637,"LAGOS_234508","Lake",2004-05-25,"tss",7,"mg/L"
"180",39.5451,-79.35558,"LAGOS_80338","Lake",2000-05-01,"DOC",2.1855,"mg/L"
"181",39.5451,-79.35558,"LAGOS_80338","Lake",2000-05-01,"secchi_m",4.4,"m"
"182",39.5451,-79.35558,"LAGOS_80338","Lake",2000-05-01,"tss",1.6,"mg/L"
"183",34.1878,-91.5133,"LAGOS_283323","Lake",2011-08-01,"DOC",10.2,"mg/L"
"184",34.1878,-91.5133,"LAGOS_283323","Lake",2011-08-01,"turb_ntu",11.2,"ntu"
"185",34.1878,-91.5133,"LAGOS_283323","Lake",2011-08-01,"secchi_m",0.64008,"m"
"186",34.1878,-91.5133,"LAGOS_283323","Lake",2011-08-01,"tss",11.5,"mg/L"
"187",40.24332,-105.81362,"LAGOS_449545","Lake",2007-03-13,"DOC",2.39,"mg/L"
"188",30.03605,-95.15354,"LAGOS_424032","Lake",2000-12-11,"DOC",7.56,"mg/L"
"189",30.03605,-95.15354,"LAGOS_424032","Lake",2000-12-11,"colort_pcu",75,"pcu"
"190",30.03605,-95.15354,"LAGOS_424032","Lake",2000-12-11,"turb_ntu",39,"ntu"
"191",30.03605,-95.15354,"LAGOS_424032","Lake",2000-12-11,"secchi_m",0.4,"m"
"192",30.03605,-95.15354,"LAGOS_424032","Lake",2000-12-11,"tss",14,"mg/L"
"193",36.0911,-94.3664,"LAGOS_392477","Lake",2014-04-14,"DOC",6,"mg/L"
"194",36.0911,-94.3664,"LAGOS_392477","Lake",2014-04-14,"turb_ntu",2.15,"ntu"
"195",36.0911,-94.3664,"LAGOS_392477","Lake",2014-04-14,"tss",3,"mg/L"
"196",40.32389,-81.18083,"LAGOS_494","Lake",2016-03-16,"DOC",2.45,"mg/L"
"197",32.51853,-89.94125,"LAGOS_255758","Lake",2008-12-08,"DOC",7,"mg/L"
"198",32.51853,-89.94125,"LAGOS_255758","Lake",2008-12-08,"secchi_m",0.5,"m"
"199",38.59432,-75.29099,"LAGOS_142130","Lake",2015-04-15,"DOC",3.8,"mg/L"
"200",38.59432,-75.29099,"LAGOS_142130","Lake",2015-04-15,"turb_ntu",3,"ntu"
"201",38.59432,-75.29099,"LAGOS_142130","Lake",2015-04-15,"secchi_m",1.2,"m"
"202",38.59432,-75.29099,"LAGOS_142130","Lake",2015-04-15,"tss",7,"mg/L"
"203",32.51853,-89.94125,"LAGOS_255758","Lake",2004-04-28,"DOC",7,"mg/L"
"204",32.51853,-89.94125,"LAGOS_255758","Lake",2004-04-28,"secchi_m",0.6,"m"
"205",29.76857,-95.0742,"LAGOS_423800","Lake",2017-08-15,"DOC",7.41,"mg/L"
"206",29.76857,-95.0742,"LAGOS_423800","Lake",2017-08-15,"secchi_m",0.254,"m"
"207",29.76857,-95.0742,"LAGOS_423800","Lake",2017-08-15,"tss",17,"mg/L"
"208",48.99164,-102.78601,"LAGOS_310696","Lake",2012-08-28,"DOC",26,"mg/L"
"209",48.99164,-102.78601,"LAGOS_310696","Lake",2012-08-28,"tss",6,"mg/L"
"210",35.1539,-90.7198,"LAGOS_50675","Lake",2011-03-28,"DOC",6.91,"mg/L"
"211",35.1539,-90.7198,"LAGOS_50675","Lake",2011-03-28,"turb_ntu",12.3,"ntu"
"212",35.1539,-90.7198,"LAGOS_50675","Lake",2011-03-28,"secchi_m",1.08204,"m"
"213",35.1539,-90.7198,"LAGOS_50675","Lake",2011-03-28,"tss",5.5,"mg/L"
"214",32.87747,-85.90135,"LAGOS_241072","Lake",2004-09-21,"DOC",3.231,"mg/L"
"215",32.87747,-85.90135,"LAGOS_241072","Lake",2004-09-21,"secchi_m",1.04,"m"
"216",32.87747,-85.90135,"LAGOS_241072","Lake",2004-09-21,"tss",7,"mg/L"
"217",35.1539,-90.7198,"LAGOS_50675","Lake",2011-01-24,"DOC",6.55,"mg/L"
"218",35.1539,-90.7198,"LAGOS_50675","Lake",2011-01-24,"turb_ntu",11.3,"ntu"
"219",35.1539,-90.7198,"LAGOS_50675","Lake",2011-01-24,"secchi_m",1.2192,"m"
"220",35.1539,-90.7198,"LAGOS_50675","Lake",2011-01-24,"tss",4,"mg/L"
"221",34.14556,-94.09611,"LAGOS_409269","Lake",2014-11-18,"DOC",4.86,"mg/L"
"222",34.14556,-94.09611,"LAGOS_409269","Lake",2014-11-18,"turb_ntu",7.99,"ntu"
"223",34.14556,-94.09611,"LAGOS_409269","Lake",2014-11-18,"secchi_m",0.89916,"m"
"224",34.14556,-94.09611,"LAGOS_409269","Lake",2014-11-18,"tss",14.3,"mg/L"
"225",36.468,-94.327,"LAGOS_83001","Lake",2012-09-25,"DOC",3.28,"mg/L"
"226",36.468,-94.327,"LAGOS_83001","Lake",2012-09-25,"turb_ntu",1.58,"ntu"
"227",36.468,-94.327,"LAGOS_83001","Lake",2012-09-25,"tss",2,"mg/L"
"228",40.32389,-81.18083,"LAGOS_494","Lake",2015-08-13,"DOC",3.63,"mg/L"
"229",39.39897,-76.98388,"LAGOS_142983","Lake",2007-07-30,"DOC",2.23,"mg/L"
"230",39.39897,-76.98388,"LAGOS_142983","Lake",2007-07-30,"colort_pcu",7,"pcu"
"231",39.39897,-76.98388,"LAGOS_142983","Lake",2007-07-30,"turb_ntu",0.85,"ntu"
"232",39.39897,-76.98388,"LAGOS_142983","Lake",2007-07-30,"secchi_m",4.2,"m"
"233",32.51853,-89.94125,"LAGOS_255758","Lake",2005-02-22,"DOC",7,"mg/L"
"234",32.51853,-89.94125,"LAGOS_255758","Lake",2005-02-22,"secchi_m",0.5,"m"
"235",42.47148,-85.5257,"LAGOS_34380","Lake",2007-07-19,"DOC",5.5,"mg/L"
"236",42.47148,-85.5257,"LAGOS_34380","Lake",2007-07-19,"colort_pcu",10,"pcu"
"237",42.47148,-85.5257,"LAGOS_34380","Lake",2007-07-19,"turb_ntu",1.25,"ntu"
"238",42.47148,-85.5257,"LAGOS_34380","Lake",2007-07-19,"secchi_m",3.5,"m"
"239",35.9694,-94.3542,"LAGOS_393298","Lake",2014-06-03,"DOC",5.16,"mg/L"
"240",35.9694,-94.3542,"LAGOS_393298","Lake",2014-06-03,"turb_ntu",2.17,"ntu"
"241",35.9694,-94.3542,"LAGOS_393298","Lake",2014-06-03,"tss",3.8,"mg/L"
"242",33.69667,-93.96111,"LAGOS_408132","Lake",2013-01-22,"DOC",5.03,"mg/L"
"243",33.69667,-93.96111,"LAGOS_408132","Lake",2013-01-22,"turb_ntu",28.5,"ntu"
"244",33.69667,-93.96111,"LAGOS_408132","Lake",2013-01-22,"secchi_m",0.5334,"m"
"245",33.69667,-93.96111,"LAGOS_408132","Lake",2013-01-22,"tss",13.5,"mg/L"
"246",34.1878,-91.5133,"LAGOS_283323","Lake",2010-04-26,"DOC",9.92,"mg/L"
"247",34.1878,-91.5133,"LAGOS_283323","Lake",2010-04-26,"turb_ntu",11.1,"ntu"
"248",34.1878,-91.5133,"LAGOS_283323","Lake",2010-04-26,"secchi_m",0.6096,"m"
"249",34.1878,-91.5133,"LAGOS_283323","Lake",2010-04-26,"tss",11.5,"mg/L"
"250",34.4275,-92.9017,"LAGOS_293295","Lake",2012-08-14,"DOC",3.38,"mg/L"
"251",34.4275,-92.9017,"LAGOS_293295","Lake",2012-08-14,"turb_ntu",3.23,"ntu"
"252",34.4275,-92.9017,"LAGOS_293295","Lake",2012-08-14,"secchi_m",1.2954,"m"
"253",34.4275,-92.9017,"LAGOS_293295","Lake",2012-08-14,"tss",3.5,"mg/L"
"254",35.999,-94.135,"LAGOS_80896","Lake",2013-03-04,"DOC",5.53,"mg/L"
"255",35.999,-94.135,"LAGOS_80896","Lake",2013-03-04,"turb_ntu",6.02,"ntu"
"256",35.999,-94.135,"LAGOS_80896","Lake",2013-03-04,"tss",55,"mg/L"
"257",38.59432,-75.29099,"LAGOS_142130","Lake",2009-12-14,"DOC",7,"mg/L"
"258",38.59432,-75.29099,"LAGOS_142130","Lake",2009-12-14,"turb_ntu",4,"ntu"
"259",38.59432,-75.29099,"LAGOS_142130","Lake",2009-12-14,"secchi_m",1.6,"m"
"260",38.59432,-75.29099,"LAGOS_142130","Lake",2009-12-14,"tss",3,"mg/L"
"261",38.59432,-75.29099,"LAGOS_142130","Lake",2005-03-07,"DOC",3.9,"mg/L"
"262",38.59432,-75.29099,"LAGOS_142130","Lake",2005-03-07,"turb_ntu",4,"ntu"
"263",38.59432,-75.29099,"LAGOS_142130","Lake",2005-03-07,"secchi_m",1.6,"m"
"264",38.59432,-75.29099,"LAGOS_142130","Lake",2005-03-07,"tss",3,"mg/L"
"265",38.59432,-75.29099,"LAGOS_142130","Lake",2005-09-19,"DOC",3.4,"mg/L"
"266",38.59432,-75.29099,"LAGOS_142130","Lake",2005-09-19,"turb_ntu",6,"ntu"
"267",38.59432,-75.29099,"LAGOS_142130","Lake",2005-09-19,"secchi_m",0.8,"m"
"268",38.59432,-75.29099,"LAGOS_142130","Lake",2005-09-19,"tss",9,"mg/L"
"269",38.6718,-75.18588,"LAGOS_142394","Lake",2011-07-25,"DOC",5.1,"mg/L"
"270",38.6718,-75.18588,"LAGOS_142394","Lake",2011-07-25,"turb_ntu",2,"ntu"
"271",38.6718,-75.18588,"LAGOS_142394","Lake",2011-07-25,"secchi_m",0.7,"m"
