"SITE_NO","DATE_TIME_HEURE","FLAG_MARQUEUR","VALUE_VALEUR","SDL_LDE","MDL_LDM","VMV_CODE","UNIT_UNITE","VARIABLE","VARIABLE_FR","STATUS_STATUT"
"MA05PF0022","2002-02-13 15:20","","1.7400","","","17206","MG/L","CHLORIDE DISSOLVED","CHLORURE DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","<","2.0000","","","36012","NO/100ML","COLIFORMS FECAL","COLIFORMES FÉCAUX","P"
"MA05PF0022","2002-02-13 15:20","","7.0000","","","36002","NO/100ML","COLIFORMS TOTAL","COLIFORMES TOTAUX","P"
"MA05PF0022","2002-02-13 15:20","","30.0000","","","2021","REL UNITS","COLOUR TRUE","COULEUR VRAIE","P"
"MA05PF0022","2002-02-13 15:20","<","2.0000","","","36103","NO/100ML","FECAL STREPTOCOCCI","STREPTOCOQUES FÉCAUX","P"
"MA05PF0022","2002-02-13 15:20","",".0700","","","9117","MG/L","FLUORIDE DISSOLVED","FLUORURE DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","","5.4600","","","10650","MG/L","HARDNESS NON-CARB. (CALCD.)","DURETÉ NON-CARB. (CALC.)","P"
"MA05PF0022","2002-02-13 15:20","","49.5600","","","10602","MG/L","HARDNESS TOTAL (CALCD.) CACO3","DURETÉ TOTALE (CALC.) CACO3","P"
"MA05PF0022","2002-02-13 15:20","",".0000","","","8501","MG/L","HYDROXIDE (CALCD.)","HYDROXYDE (CALC.)","P"
"MA05PF0022","2002-02-13 15:20","","3.8500","","","12102","MG/L","MAGNESIUM DISSOLVED","MAGNÉSIUM DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","",".2070","","","7110","MG/L","NITROGEN DISSOLVED NO3 & NO2","AZOTE DISSOUS NO3 & NO2","P"
"MA05PF0022","2002-02-13 15:20","",".0210","","","7901","MG/L","NITROGEN PARTICULATE","AZOTE PARTICULAIRE","P"
"MA05PF0022","2002-02-13 15:20","",".6280","","","7603","MG/L","NITROGEN TOTAL (CALCD.)","AZOTE TOTAL (CALC.)","P"
"MA05PF0022","2002-02-13 15:20","",".6070","","","7657","MG/L","NITROGEN TOTAL DISSOLVED","AZOTE TOTAL DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","",".0110","","","15265","MG/L","ORTHOPHOSPHORUS DISSOLVED","ORTHOPHOSPHORE DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","","12.8500","","","8102","MG/L","OXYGEN DISSOLVED","OXYGÈNE DISSOUS","P"
"MA05PF0022","2002-02-13 15:20","","7.3600","","","10301","PH UNITS","PH","PH","P"
"MA05PF0022","2002-02-13 15:20","","7.6500","","","109026","PH UNITS","PH","PH","P"
"MA05PF0022","2002-02-13 15:20","",".0080","","","15901","MG/L","PHOSPHORUS PARTICULATE (CALCD.)","PHOSPHORE PARTICULAIRE (CALC.)","P"
